Transaction_ID,Customer_ID,Transaction_Type,Amount_Spent,Frequency,Payment_Method,Merchant_Category,Location
1,183,Dining,817.1765871613732,29,Debit Card,Supermarket,Rural
2,140,Electricity,179.01313442084992,27,Credit Card,Online Marketplace,Rural
3,50,Hotel Stay,877.492289942504,2,Debit Card,Luxury Goods,Urban
4,361,Online Shopping,627.114087099554,28,Net Banking,Retail Store,Suburban
5,40,Groceries,1240.9538976153706,23,Debit Card,Fuel Station,Rural
6,86,Online Shopping,1124.7588502276553,2,UPI,Retail Store,Suburban
7,98,Flights,287.81510307649745,8,Net Banking,Supermarket,Urban
8,451,Online Shopping,1706.2863305003225,4,UPI,Supermarket,Suburban
9,77,Dining,138.19395977109914,28,Cash,Online Marketplace,Rural
10,405,Fuel,1406.2047547423358,13,Net Banking,Supermarket,Urban
11,186,Dining,712.4210696802359,25,Credit Card,Supermarket,Suburban
12,383,Groceries,1585.0361175195603,29,Credit Card,Supermarket,Urban
13,195,Flights,761.5401562278406,14,UPI,Online Marketplace,Suburban
14,86,Electricity,126.46131358169056,12,Net Banking,Luxury Goods,Urban
15,117,Ride Sharing,1608.8263796458941,21,Debit Card,Retail Store,Suburban
16,56,Public Transport,432.9475163459937,4,Cash,Online Marketplace,Rural
17,297,Ride Sharing,1853.7296357401935,25,Cash,Online Marketplace,Urban
18,465,Groceries,668.8440749212348,4,UPI,Local Vendors,Rural
19,478,Ride Sharing,1070.0664835818377,2,Debit Card,Luxury Goods,Rural
20,351,Public Transport,1106.443896453915,26,Debit Card,Online Marketplace,Rural
21,494,Flights,14.55125661581215,10,Debit Card,Local Vendors,Suburban
22,299,Online Shopping,1896.883380165221,7,Debit Card,Local Vendors,Suburban
23,22,Ride Sharing,1571.3050656825199,13,Debit Card,Retail Store,Suburban
24,166,Fuel,565.9082307827487,24,Debit Card,Supermarket,Suburban
25,77,Fuel,391.4429571258576,24,UPI,Local Vendors,Rural
26,153,Ride Sharing,1411.9611334695614,8,Debit Card,Fuel Station,Urban
27,25,Ride Sharing,1378.2244167533472,1,Net Banking,Local Vendors,Urban
28,406,Flights,1366.696105742616,20,Credit Card,Supermarket,Urban
29,356,Fuel,160.5492858396183,9,Cash,Fuel Station,Urban
30,383,Fuel,1018.7645361877887,2,UPI,Fuel Station,Rural
31,222,Online Shopping,1846.5283696233785,24,Cash,Fuel Station,Urban
32,101,Groceries,1599.7565790137994,6,Debit Card,Retail Store,Urban
33,310,Online Shopping,1077.7099148285056,12,Net Banking,Online Marketplace,Urban
34,493,Hotel Stay,283.04458924486164,8,Debit Card,Local Vendors,Urban
35,325,Hotel Stay,1811.7036528910926,5,Debit Card,Luxury Goods,Urban
36,117,Groceries,217.51977039847955,29,Credit Card,Local Vendors,Suburban
37,336,Electricity,34.41428935738024,27,Credit Card,Online Marketplace,Urban
38,325,Hotel Stay,718.3059240834936,26,Net Banking,Fuel Station,Rural
39,61,Dining,1174.7734927543763,4,Net Banking,Fuel Station,Rural
40,482,Flights,1842.2852213759845,5,Credit Card,Retail Store,Rural
41,54,Fuel,150.16828706255404,8,Cash,Supermarket,Suburban
42,264,Ride Sharing,1560.4610640663457,21,Credit Card,Retail Store,Suburban
43,396,Electricity,1862.0087165234522,23,Debit Card,Fuel Station,Urban
44,279,Electricity,1762.6852067934103,11,Debit Card,Fuel Station,Urban
45,117,Online Shopping,685.8607724739107,29,Cash,Fuel Station,Urban
46,396,Hotel Stay,1342.2296155969937,15,UPI,Luxury Goods,Suburban
47,2,Public Transport,357.2653621121574,28,Net Banking,Fuel Station,Urban
48,419,Public Transport,1178.5000492709974,26,Net Banking,Online Marketplace,Suburban
49,396,Dining,527.1759617581289,3,Credit Card,Online Marketplace,Urban
50,257,Online Shopping,1486.1324399459586,1,Debit Card,Fuel Station,Urban
51,53,Public Transport,1653.3430154205291,3,Net Banking,Online Marketplace,Urban
52,112,Fuel,1608.442959917737,17,UPI,Luxury Goods,Rural
53,378,Hotel Stay,808.1079906715896,23,UPI,Online Marketplace,Suburban
54,275,Online Shopping,448.43805182599573,29,Cash,Supermarket,Rural
55,396,Ride Sharing,818.8974027355266,1,Net Banking,Supermarket,Suburban
56,343,Fuel,1664.5162150649599,25,Credit Card,Supermarket,Suburban
57,453,Hotel Stay,199.87722370786946,9,Debit Card,Fuel Station,Suburban
58,280,Flights,1679.1951912072136,7,Credit Card,Local Vendors,Rural
59,224,Public Transport,816.9677546793919,4,Debit Card,Local Vendors,Urban
60,465,Dining,816.0956109677506,20,Cash,Luxury Goods,Rural
61,244,Public Transport,297.9590596406279,23,Credit Card,Fuel Station,Rural
62,126,Flights,1277.0941998879614,25,Cash,Luxury Goods,Rural
63,455,Electricity,640.4431262472089,4,Net Banking,Retail Store,Suburban
64,237,Hotel Stay,1892.5634461048542,22,Debit Card,Supermarket,Rural
65,27,Hotel Stay,1297.0475596597255,9,UPI,Luxury Goods,Rural
66,430,Public Transport,658.8468506525934,17,Debit Card,Luxury Goods,Rural
67,316,Groceries,1510.9321043863195,22,UPI,Retail Store,Urban
68,210,Electricity,1747.492607942166,18,Credit Card,Fuel Station,Suburban
69,88,Electricity,182.55546007610207,22,Debit Card,Luxury Goods,Suburban
70,49,Public Transport,899.248379888708,24,Net Banking,Supermarket,Rural
71,93,Fuel,1126.5804861782124,25,Net Banking,Supermarket,Urban
72,481,Electricity,1004.6387955148523,12,Credit Card,Local Vendors,Suburban
73,112,Public Transport,1497.2962123949892,5,UPI,Supermarket,Suburban
74,241,Ride Sharing,360.0306600796594,1,Credit Card,Supermarket,Urban
75,428,Fuel,545.1939321036755,8,Cash,Supermarket,Urban
76,403,Online Shopping,1400.4690546607196,11,Cash,Local Vendors,Urban
77,373,Online Shopping,919.5783964847549,12,Net Banking,Luxury Goods,Rural
78,292,Electricity,1917.1969372696208,12,Cash,Retail Store,Urban
79,241,Groceries,330.31117521747285,15,Cash,Local Vendors,Rural
80,104,Fuel,1316.7027916525733,19,UPI,Online Marketplace,Urban
81,428,Ride Sharing,1052.366449781487,2,UPI,Online Marketplace,Urban
82,445,Online Shopping,1711.0746334316157,1,Net Banking,Luxury Goods,Urban
83,147,Dining,701.3733993696521,23,Cash,Fuel Station,Urban
84,265,Dining,1954.9841329379926,6,Credit Card,Local Vendors,Suburban
85,34,Dining,522.41894494893,28,Net Banking,Supermarket,Urban
86,125,Hotel Stay,289.73774489970776,12,Cash,Retail Store,Suburban
87,148,Hotel Stay,972.2313061320107,2,Debit Card,Fuel Station,Rural
88,11,Flights,1949.6760034079118,17,UPI,Online Marketplace,Urban
89,443,Electricity,1787.0757385743527,11,Net Banking,Supermarket,Urban
90,376,Online Shopping,232.44158833615697,17,Credit Card,Supermarket,Rural
91,399,Public Transport,331.19585875094447,1,UPI,Retail Store,Suburban
92,256,Groceries,1066.4238762993157,15,Net Banking,Luxury Goods,Suburban
93,46,Dining,1710.2748225630685,17,Debit Card,Retail Store,Suburban
94,483,Hotel Stay,1144.8884263046361,25,Net Banking,Local Vendors,Suburban
95,181,Flights,1242.06037017025,26,UPI,Retail Store,Urban
96,352,Dining,1101.7454702323614,25,Debit Card,Fuel Station,Urban
97,318,Groceries,111.29104276333287,9,UPI,Local Vendors,Urban
98,411,Public Transport,1659.65899690252,13,Credit Card,Fuel Station,Rural
99,342,Dining,956.170303402915,24,Credit Card,Online Marketplace,Urban
100,150,Electricity,105.37476743164626,15,Credit Card,Fuel Station,Urban
101,288,Online Shopping,1683.9441528862917,25,Cash,Luxury Goods,Suburban
102,158,Dining,1111.1349636816535,9,Credit Card,Online Marketplace,Rural
103,300,Ride Sharing,871.8936091581304,2,UPI,Online Marketplace,Suburban
104,404,Public Transport,443.28005919830855,23,Cash,Luxury Goods,Rural
105,490,Flights,124.64538543258051,22,Credit Card,Supermarket,Suburban
106,139,Flights,1749.5760643224442,13,Credit Card,Luxury Goods,Suburban
107,121,Public Transport,171.4453144206073,8,Credit Card,Local Vendors,Suburban
108,94,Dining,1260.2098176622492,13,Debit Card,Online Marketplace,Rural
109,182,Flights,1557.818875676138,21,UPI,Supermarket,Rural
110,183,Flights,455.21464019287725,18,UPI,Supermarket,Suburban
111,20,Fuel,551.7341371286153,9,UPI,Online Marketplace,Rural
112,437,Flights,22.968594326891935,29,Cash,Retail Store,Urban
113,164,Groceries,1249.7688881168488,11,UPI,Local Vendors,Suburban
114,304,Groceries,1899.957347870284,3,Credit Card,Supermarket,Suburban
115,291,Public Transport,1557.5758355608382,4,UPI,Fuel Station,Urban
116,282,Groceries,163.39153639637843,9,Cash,Supermarket,Urban
117,368,Electricity,875.6995555365339,21,Credit Card,Supermarket,Rural
118,66,Ride Sharing,676.1814830251795,23,Debit Card,Supermarket,Suburban
119,337,Electricity,118.92803761727986,6,Cash,Supermarket,Urban
120,318,Dining,1899.211823737219,5,Cash,Luxury Goods,Suburban
121,325,Hotel Stay,610.5628346721165,1,Cash,Fuel Station,Urban
122,42,Public Transport,1150.3469513229265,27,Cash,Supermarket,Urban
123,50,Hotel Stay,1974.4309364345456,19,Net Banking,Supermarket,Urban
124,62,Public Transport,1616.9944083154553,13,Cash,Online Marketplace,Rural
125,329,Ride Sharing,1175.952607784203,28,UPI,Local Vendors,Rural
126,104,Electricity,1973.2160540083084,13,UPI,Supermarket,Urban
127,466,Ride Sharing,1611.4554976003506,5,Credit Card,Fuel Station,Urban
128,420,Dining,1495.825912430564,8,Cash,Online Marketplace,Urban
129,300,Fuel,1590.6205550860711,22,Net Banking,Luxury Goods,Urban
130,60,Online Shopping,592.4302191518373,15,Cash,Local Vendors,Rural
131,385,Groceries,640.9647694144606,23,Credit Card,Retail Store,Rural
132,96,Fuel,1909.20111554027,22,Debit Card,Online Marketplace,Suburban
133,90,Hotel Stay,206.2268091006632,25,Debit Card,Online Marketplace,Urban
134,355,Online Shopping,1450.415851175327,25,Credit Card,Local Vendors,Rural
135,228,Online Shopping,171.24399252024745,10,Credit Card,Retail Store,Urban
136,404,Electricity,1560.5482273059954,24,Debit Card,Fuel Station,Rural
137,236,Electricity,74.86866649993429,17,Debit Card,Fuel Station,Suburban
138,97,Hotel Stay,1106.1748303929521,4,UPI,Supermarket,Rural
139,29,Ride Sharing,1058.5510502088907,26,Cash,Luxury Goods,Rural
140,47,Dining,1358.5658846623362,8,Credit Card,Fuel Station,Suburban
141,180,Fuel,388.57370561044075,14,Net Banking,Fuel Station,Rural
142,54,Fuel,1228.5320859539565,1,UPI,Retail Store,Suburban
143,491,Electricity,796.6229552972022,26,UPI,Fuel Station,Suburban
144,297,Hotel Stay,292.8024328886145,29,Net Banking,Supermarket,Urban
145,202,Flights,907.4227808065693,24,Credit Card,Local Vendors,Urban
146,188,Fuel,695.3380584741674,18,Credit Card,Luxury Goods,Suburban
147,319,Public Transport,1768.818153953211,6,Debit Card,Local Vendors,Rural
148,213,Public Transport,574.4002594492852,20,Credit Card,Online Marketplace,Rural
149,135,Dining,996.2834627746478,1,Cash,Retail Store,Suburban
150,135,Online Shopping,438.2754352993339,11,UPI,Supermarket,Urban
151,499,Electricity,1241.6810359718759,22,Credit Card,Supermarket,Suburban
152,16,Electricity,1643.7790253956925,5,Cash,Supermarket,Suburban
153,368,Dining,888.4058232495765,14,Debit Card,Retail Store,Suburban
154,34,Hotel Stay,941.3010661487139,19,Net Banking,Local Vendors,Suburban
155,29,Ride Sharing,775.426071531712,27,Debit Card,Retail Store,Urban
156,136,Fuel,1991.2214474027126,27,Credit Card,Luxury Goods,Suburban
157,370,Fuel,663.5145508745197,16,Cash,Online Marketplace,Suburban
158,323,Hotel Stay,801.7963768594304,25,Credit Card,Online Marketplace,Rural
159,426,Flights,309.43352273158115,2,Debit Card,Luxury Goods,Suburban
160,233,Ride Sharing,1274.4429271271142,16,Net Banking,Local Vendors,Suburban
161,122,Fuel,157.94555702038224,1,Cash,Retail Store,Rural
162,20,Flights,945.7114579556501,7,Cash,Supermarket,Suburban
163,464,Fuel,1049.701683047768,17,UPI,Fuel Station,Rural
164,291,Dining,1567.0789557659311,7,Debit Card,Local Vendors,Suburban
165,360,Ride Sharing,881.283902600115,1,Debit Card,Luxury Goods,Urban
166,410,Public Transport,585.6871757610921,25,Net Banking,Luxury Goods,Rural
167,308,Hotel Stay,1413.347896704742,11,Net Banking,Fuel Station,Rural
168,446,Hotel Stay,18.996095345483038,18,Credit Card,Retail Store,Suburban
169,340,Groceries,1172.5532118065423,7,Cash,Online Marketplace,Rural
170,443,Online Shopping,545.8479195252431,9,Net Banking,Luxury Goods,Suburban
171,296,Online Shopping,136.98079637009243,18,UPI,Fuel Station,Urban
172,290,Groceries,1217.9353186077287,9,Debit Card,Online Marketplace,Suburban
173,235,Groceries,941.1570275416277,9,UPI,Local Vendors,Rural
174,197,Ride Sharing,44.119049934249496,24,Net Banking,Retail Store,Urban
175,466,Ride Sharing,1621.5667847711968,23,Debit Card,Local Vendors,Urban
176,25,Ride Sharing,774.4484032115024,21,Debit Card,Luxury Goods,Rural
177,404,Electricity,1137.1213592495965,4,UPI,Retail Store,Rural
178,83,Public Transport,522.7841967203744,17,Net Banking,Local Vendors,Rural
179,164,Fuel,953.0015943094297,26,Cash,Fuel Station,Suburban
180,26,Groceries,1039.253789734159,7,Credit Card,Fuel Station,Urban
181,457,Hotel Stay,1520.5512204665727,22,UPI,Fuel Station,Urban
182,198,Online Shopping,233.6746170266595,8,Debit Card,Luxury Goods,Rural
183,253,Groceries,1017.2038168753508,2,Cash,Supermarket,Suburban
184,261,Online Shopping,1485.2778214481,3,Credit Card,Supermarket,Rural
185,299,Groceries,651.4130195442708,2,UPI,Retail Store,Suburban
186,182,Groceries,1744.3055231231199,17,Cash,Supermarket,Suburban
187,21,Flights,766.0459765911257,20,Net Banking,Local Vendors,Suburban
188,317,Online Shopping,478.3483560916426,26,Debit Card,Local Vendors,Urban
189,357,Flights,754.1035694250322,7,Net Banking,Local Vendors,Suburban
190,476,Public Transport,817.9200754722362,23,Debit Card,Retail Store,Rural
191,167,Flights,1813.0425749719275,11,Cash,Fuel Station,Urban
192,47,Dining,162.45041978849056,19,Debit Card,Local Vendors,Suburban
193,466,Fuel,43.51485304553793,19,Debit Card,Luxury Goods,Suburban
194,349,Online Shopping,951.9851780253482,15,Net Banking,Online Marketplace,Urban
195,296,Groceries,167.66309339736142,26,Debit Card,Local Vendors,Rural
196,37,Dining,225.66696199717705,28,Debit Card,Luxury Goods,Suburban
197,330,Ride Sharing,1935.513488268318,3,Credit Card,Online Marketplace,Rural
198,222,Ride Sharing,337.75824584403114,10,Cash,Fuel Station,Suburban
199,148,Hotel Stay,1691.5273621505423,28,Credit Card,Retail Store,Suburban
200,121,Flights,1161.2686311921718,20,Net Banking,Online Marketplace,Rural
201,204,Online Shopping,115.98874540560082,1,UPI,Fuel Station,Urban
202,206,Dining,810.1707651791811,19,Debit Card,Local Vendors,Urban
203,431,Public Transport,691.660348302454,8,Net Banking,Retail Store,Rural
204,154,Flights,82.05399798243333,19,Net Banking,Luxury Goods,Urban
205,105,Flights,952.4933398838268,3,Net Banking,Local Vendors,Suburban
206,259,Dining,1912.3063755270114,26,UPI,Supermarket,Urban
207,395,Hotel Stay,143.79841704018335,15,Net Banking,Supermarket,Suburban
208,275,Ride Sharing,1886.033306804586,11,Net Banking,Supermarket,Suburban
209,310,Public Transport,1568.5996628502091,28,Cash,Online Marketplace,Rural
210,246,Groceries,1482.8208761314966,7,Cash,Fuel Station,Urban
211,59,Hotel Stay,1772.0784577172017,9,Net Banking,Fuel Station,Urban
212,381,Fuel,1085.4426175338792,29,Credit Card,Retail Store,Urban
213,449,Hotel Stay,1781.4976308355347,23,Net Banking,Local Vendors,Rural
214,117,Ride Sharing,795.0139011390759,23,UPI,Supermarket,Urban
215,15,Groceries,1473.4069424219044,15,Net Banking,Luxury Goods,Rural
216,366,Dining,1510.1888852929937,22,Net Banking,Fuel Station,Urban
217,214,Ride Sharing,77.8430324937538,28,Cash,Luxury Goods,Rural
218,313,Groceries,1172.782828238403,19,UPI,Fuel Station,Suburban
219,459,Public Transport,1424.080584625209,9,UPI,Local Vendors,Rural
220,487,Groceries,1500.5788877102007,20,Credit Card,Online Marketplace,Suburban
221,93,Electricity,1841.2200982660595,6,Cash,Luxury Goods,Urban
222,66,Flights,1193.660564092388,1,Net Banking,Retail Store,Suburban
223,201,Groceries,1379.5494989547224,23,Credit Card,Supermarket,Urban
224,198,Online Shopping,159.81389007130733,28,Cash,Supermarket,Suburban
225,453,Flights,1212.44901339759,14,Cash,Local Vendors,Rural
226,62,Fuel,1599.74674820311,9,Cash,Luxury Goods,Suburban
227,259,Electricity,481.97395192215004,6,Cash,Retail Store,Urban
228,82,Groceries,1165.4712308914422,10,UPI,Retail Store,Urban
229,441,Hotel Stay,732.4247562680213,13,Debit Card,Fuel Station,Rural
230,22,Online Shopping,1447.7693455081742,29,Debit Card,Luxury Goods,Urban
231,418,Public Transport,976.029374753886,4,Credit Card,Local Vendors,Suburban
232,139,Dining,229.06559467904538,14,Net Banking,Fuel Station,Urban
233,222,Online Shopping,202.59292989593405,3,Debit Card,Local Vendors,Rural
234,322,Hotel Stay,1532.236905122673,16,Cash,Supermarket,Suburban
235,312,Online Shopping,241.78629476773688,12,UPI,Online Marketplace,Suburban
236,96,Online Shopping,1890.5771402059165,7,Debit Card,Online Marketplace,Urban
237,90,Dining,1441.3224858058388,3,Cash,Online Marketplace,Suburban
238,105,Flights,634.8575532581782,12,Debit Card,Online Marketplace,Suburban
239,228,Dining,680.2191680803585,19,Cash,Supermarket,Urban
240,104,Dining,1132.6231591934318,24,Debit Card,Online Marketplace,Urban
241,213,Dining,796.4072152160101,27,Debit Card,Luxury Goods,Urban
242,55,Electricity,1808.209323933964,16,Credit Card,Luxury Goods,Rural
243,282,Ride Sharing,433.34598721730816,28,Debit Card,Online Marketplace,Rural
244,497,Hotel Stay,755.1348312946235,7,Net Banking,Supermarket,Suburban
245,497,Electricity,1986.8709932214213,1,Cash,Retail Store,Suburban
246,198,Groceries,1664.8063571586829,4,Credit Card,Supermarket,Urban
247,117,Fuel,1563.280594946774,16,Cash,Local Vendors,Urban
248,74,Ride Sharing,446.95539374695585,21,Net Banking,Retail Store,Rural
249,78,Fuel,913.9681260037041,13,Credit Card,Fuel Station,Rural
250,303,Flights,1976.5756327128597,4,Net Banking,Retail Store,Rural
251,480,Groceries,1537.043600036183,4,UPI,Luxury Goods,Urban
252,456,Electricity,109.00637723861657,26,UPI,Online Marketplace,Rural
253,479,Ride Sharing,799.9911700620804,22,Net Banking,Luxury Goods,Rural
254,202,Ride Sharing,399.82435317853543,4,Net Banking,Online Marketplace,Suburban
255,26,Groceries,812.4776198982465,9,Credit Card,Supermarket,Urban
256,426,Groceries,1842.1772536642309,21,UPI,Supermarket,Rural
257,325,Fuel,1664.3001713314575,26,UPI,Online Marketplace,Rural
258,181,Dining,1301.3910802393675,29,Cash,Retail Store,Suburban
259,344,Electricity,1204.5162504232212,28,Net Banking,Luxury Goods,Suburban
260,67,Electricity,1143.7287088497633,1,Net Banking,Fuel Station,Rural
261,79,Ride Sharing,1729.058738704027,3,Credit Card,Fuel Station,Suburban
262,111,Ride Sharing,1179.4600857629835,15,Credit Card,Retail Store,Rural
263,145,Groceries,371.50864796295156,20,UPI,Retail Store,Urban
264,140,Ride Sharing,1660.3101057524714,17,Debit Card,Supermarket,Suburban
265,260,Flights,481.01588467553813,18,Cash,Fuel Station,Suburban
266,490,Public Transport,1903.0640274555801,11,UPI,Fuel Station,Suburban
267,120,Groceries,68.5303491096735,15,Net Banking,Fuel Station,Rural
268,71,Groceries,1291.8245138745212,23,Debit Card,Luxury Goods,Rural
269,9,Online Shopping,940.7298932237152,25,Debit Card,Luxury Goods,Suburban
270,32,Ride Sharing,1161.3500690704166,14,Net Banking,Online Marketplace,Rural
271,5,Flights,1738.8485621794605,5,Net Banking,Retail Store,Rural
272,57,Ride Sharing,1623.8240203761552,7,Debit Card,Online Marketplace,Suburban
273,286,Fuel,1950.91152179051,20,Cash,Supermarket,Suburban
274,255,Hotel Stay,1260.444425855128,1,UPI,Luxury Goods,Suburban
275,312,Dining,1341.7011817461994,19,Credit Card,Luxury Goods,Suburban
276,45,Hotel Stay,619.5015177729421,27,Cash,Local Vendors,Urban
277,134,Electricity,1779.6053334095702,15,Net Banking,Luxury Goods,Rural
278,404,Electricity,1969.9744990093773,2,Debit Card,Online Marketplace,Suburban
279,334,Online Shopping,1921.4315867193945,5,Cash,Supermarket,Urban
280,468,Public Transport,1561.1342938411537,12,Credit Card,Online Marketplace,Suburban
281,87,Ride Sharing,1811.1388086955924,20,UPI,Retail Store,Suburban
282,482,Flights,507.5786042313606,14,Net Banking,Online Marketplace,Rural
283,142,Online Shopping,1885.680674796374,25,UPI,Local Vendors,Rural
284,386,Fuel,82.67443266667867,11,Debit Card,Retail Store,Rural
285,74,Electricity,24.292465951955776,28,UPI,Retail Store,Rural
286,395,Electricity,937.0080551695006,20,UPI,Local Vendors,Urban
287,488,Dining,951.159117326817,14,Net Banking,Local Vendors,Urban
